Name,Position,,,Rotation
Raycaster,(3.5, 2.2, -0.3),(0.0, -0.3, 0.0, 1.0)
Point light,(3.5, 2.2, -0.3),(0.0, -0.3, 0.0, 1.0)
FirstPersonCharacter,(3.5, 2.2, -0.3),(0.0, -0.3, 0.0, 1.0)
FPSController(Clone),(3.5, 1.5, -0.3),(0.0, -0.3, 0.0, 1.0)
QuestG3(Clone),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestG2(Clone),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestG1(Clone),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestE3(Clone),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestE2(Clone),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestE1(Clone),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestC3(Clone),(273.5, 154.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestC2(Clone),(273.5, 154.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestC1(Clone),(273.5, 154.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestB3(Clone),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestB2(Clone),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestB1(Clone),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestD3(Clone),(273.5, 154.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestD2(Clone),(273.5, 154.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestD1(Clone),(273.5, 154.0, 0.0),(0.0, 0.0, 0.0, 1.0)
TutorialPaper,(273.5, 154.0, 0.0),(0.0, 0.0, 0.0, 1.0)
QuestItemHolder,(273.5, 154.0, 0.0),(0.0, 0.0, 0.0, 1.0)
BlackBorderText,(273.5, 7.7, 0.0),(0.0, 0.0, 0.0, 1.0)
ImageCrosshair,(273.5, 154.0, 0.0),(0.0, 0.0, 0.0, 1.0)
BlackBorderTop,(273.5, 300.3, 0.0),(0.0, 0.0, 0.0, 1.0)
BlackBorderBottom,(273.5, 7.7, 0.0),(0.0, 0.0, 0.0, 1.0)
Canvas(Clone),(273.5, 154.0, 0.0),(0.0, 0.0, 0.0, 1.0)
chairDinner(Clone): 5,(-0.5, 0.0, 0.5),(0.0, 0.4, 0.0, 0.9)
Point light,(2.6, 2.2, 3.9),(0.0, 1.0, 0.0, 0.0)
Particle System,(2.6, 2.1, 3.9),(0.0, 1.0, 0.0, 0.0)
Particle System,(2.6, 2.1, 3.9),(0.0, 1.0, 0.0, 0.0)
Particle System,(2.4, 2.1, 3.9),(0.0, 1.0, 0.0, 0.0)
Particle System,(2.4, 2.1, 3.9),(0.0, 1.0, 0.0, 0.0)
Point light,(2.4, 2.2, 3.9),(0.0, 1.0, 0.0, 0.0)
LampOilWallMounting(Clone): 5,(2.5, 2.0, 4.0),(0.0, 0.0, 0.0, 1.0)
chairDinner(Clone): 4,(-0.5, 0.0, 2.5),(0.0, 0.9, 0.0, 0.4)
paintingC(Clone): 4,(3.5, 1.3, -4.0),(0.0, 1.0, 0.0, 0.0)
chairDinner(Clone): 3,(0.5, 0.0, 0.5),(0.0, 0.1, 0.0, 1.0)
Point light,(3.9, 2.2, 1.4),(0.0, 0.7, 0.0, -0.7)
Particle System,(3.9, 2.1, 1.4),(0.0, 0.7, 0.0, -0.7)
Particle System,(3.9, 2.1, 1.4),(0.0, 0.7, 0.0, -0.7)
Particle System,(3.9, 2.1, 1.6),(0.0, 0.7, 0.0, -0.7)
Particle System,(3.9, 2.1, 1.6),(0.0, 0.7, 0.0, -0.7)
Point light,(3.9, 2.2, 1.6),(0.0, 0.7, 0.0, -0.7)
LampOilWallMounting(Clone): 3,(4.0, 2.0, 1.5),(0.0, 0.7, 0.0, 0.7)
chairDinner(Clone): 2,(0.5, 0.0, 2.5),(0.0, 1.0, 0.0, 0.1)
paintingC(Clone): 2,(4.0, 1.3, 2.5),(0.0, 0.7, 0.0, 0.7)
chairDinner(Clone): 1,(1.5, 0.0, 2.5),(0.0, 0.9, 0.0, -0.3)
paintingD(Clone): 1,(3.5, 1.3, 4.0),(0.0, 0.0, 0.0, 1.0)
tableClothA,(-0.3, 1.5, 3.7),(0.0, 1.0, 0.0, 0.0)
ClothForArmoire(Clone): 1,(-0.3, 1.4, 3.7),(0.0, 1.0, 0.0, 0.0)
tableClothA,(-0.3, 1.2, 3.7),(0.0, 1.0, 0.0, 0.0)
ClothForArmoire(Clone): 1,(-0.3, 1.1, 3.7),(0.0, 1.0, 0.0, 0.0)
plateDinner (9),(-0.7, 1.4, 3.6),(0.0, 0.0, 0.0, 1.0)
plateDinner (15),(-0.7, 1.5, 3.6),(0.0, 0.0, 0.0, 1.0)
plateDinner (11),(-0.7, 1.5, 3.6),(0.0, 0.0, 0.0, 1.0)
plateDinner (4),(-0.7, 1.4, 3.6),(0.0, 0.0, 0.0, 1.0)
plateDinner (14),(-0.7, 1.5, 3.6),(0.0, 0.0, 0.0, 1.0)
